Menu,תַפרִיט
My Account,החשבון שלי
Cart, סל קניות
Contact , צ'אט אונליין
Newsletter,הקפה עליכם, העדכונים עלינו!
Send,שלח
My email, המייל שלי...
Profile,החשבון שלי
Order Now,לרכישה מהירה
Your Filters, סינון
Full Description, לפרטים נוספים
Select your quantity, בחירת כמות
Extra information, עוד מידע
No,לא
yes,כן
OK,אישור
Cancel,ביטול
"quick view","מבט חטוף"
logout, להתנתק
Store pickup,איסוף מהחנות
Selected flavours, טעמים נבחרים
"You added %1 to your shopping cart","%1 נוספו בהצלחה לסל הקניות"
"View cart &amp; checkout","מעבר לתשלום"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר את הפריט מסל הקניות?"
"Selected items have been added to your cart.","המוצרים נוספו בהצלחה לסל הקניות"
"Free gift <strong>%1</strong> was added to your shopping cart","מוצר במתנה נוסף לסל הקניות"
"Quick view", "מבט חטוף"
"Your coupon was successfully removed.","הקופון בוטל בהצלחה"
"Your coupon was successfully applied.","הקופון הופעל בהצלחה"
"Cancel coupon","ביטול קופון"
"Please specify a valid 10 digits mobile number","נא הזן מספר טלפון תקין ללא מקף"
"Full Name","שם מלא"
"Phone","טלפון"
"Business name","שם העסק"
"AREA","אזור"
Afh Email,אימייל
"Submit","שלח"
"FINISH","המשך לסל הקניות"
"Are you sure you want to delete this address?","האם אתה בטוח שברצונך למחוק כתובת זו?"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר את הפריט מסל הקניות?"
"Please enter the same value again.","ש להזין את אותם התווים"
"You've selected %1 of %2 boxes","בחרת %1 מארזים מתוך %2"
"Continue to Cart","יש, סיימת! מעבר לסל הקניות"
"You typed incorrect characters, please try again","הזנת התווים בשדה זה אינה מדויקת, אנא הזינו שנית"
"Please enter less or equal than {0} symbols.","ניתן להזין עד {0} תווים ",module,Magento_Ui
Phone numbers should start with "05",מספר טלפון צריך להתחיל ב-05,module,Magento_Checkout
Phone numbers should start with "0",מספר טלפון צריך להתחיל ב-0,module,Magento_Checkout
"New Order Email", "אישור הזמנתך מאתר קפה עלית"
"Newsletter subscription success", "נרשמת בהצלחה לניוזלטר של קפה עלית"
"Forget Password HE","שכחת סיסמה? אל דאגה"
"new account -HE", "ברוך הבא לאתר קפה עלית"
"Cart","Cart"
"Method Title","משלוח"
"Price","עלות"
"Carrier Title","כותרת "
"Subscribe to the Hermes mailing list to receive updates on new arrivals, special offers and other discount information.","להתעדכן לפני כולם בהשקות החדשות, במבצעים החמים ובאירועים המיוחדים"
"Newsletter","הקפה עליכם, העדכונים עלינו!"
"Customer Login","ברוכים הבאים"
"If you have an account, sign in with your email address.","באפשרותך להיכנס באמצעות כתובת המייל והסיסמא שקיבלת. הקפה  כבר מחכה לך."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","ביצירת חשבון יש יתרונות רבים: נרשמים ונהנים מקפה משובח, מעקב אחרי הזמנותיך, תשלום מהיר, מבצעים ייחודיים, ועוד."
"Coffee aroma","פרופיל ארומטי"
"View all","סגור"
"Out of stock","אזל מהמלאי. אבל אל דאגה, המלאי יחודש בקרוב"
"Thanks for choosing %1 plan","בחירה מעולה !"
"Jot us a note and we’ll get back to you as quickly as possible.","שלחו לנו הודעה באמצעות טופס זה ואנו נחזור אליכם תוך יום עסקים"
"What’s on your mind?","נושא הפנייה (נא לציין מס&#039; הזמנה):"
"Reload captcha","טען מחדש את התווים"
"Please select the %1 boxes you would like to receive every month","עכשיו נשאר לך לבחור למטה את  %1 המארזים שלך"
"Ingredients and Allergies","מדיניות משלוחים"
"share with your friends","שתף עם חברים"
"Extra information","פרטים נוספים"
"Details","מידע נוסף"
"none", ""
"Sign Up for Newsletter","הנני מאשר/ת קבלת סמס והטבות למייל מקבוצת שטראוס בהתאם לחוק התקשורת"
"Less","Less"
"Email to a Friend","אני רוצה שגם חבר שלי יהנה"
"Sender","פרטי השולח"
"Invitee","פרטי החבר"
"Add Invitee","שתף חברים נוספים"
"Logout","התנתקות"
"You added %1 to your shopping cart.","%1 נוספו לעגלת הקניות."
"Select Method",
"Price per month","מחיר"
"Info","נהדר!"
"You can only select %1 cups","סיימת להוסיף %1 מארזים לסל הקניות"
"Tax/VAT number","ת.ז/ח.פ"
"Forgot Your Password","שכחת סיסמה? אל תדאג..."
"Great! We added your %1 plan to your cart","נהדר! הוספת %1 לסל הקניות"
"Customize and Add to Cart","הוסף לעגלה"
"Customize %1","פירוט החבילה"
"Summary","פירוט"
"More Information","מאפיינים"
"Address Book","הכתובות שלי"
"Account Dashboard","פרטי חשבון"
"You have placed no orders.","אין הזמנות בחשבון"
"Apartment","דירה"
"Additional","טלפון נוסף"
"Phone","טלפון"
"Additional Address Entries","עריכת כתובות נוספים"
"Tax","מע""מ"
"<span class=""label"">Order Date:</span> %1","&lt;span class=&quot;label&quot;&gt;תאריך הזמנה:&lt;/span&gt; %1"
"Quick view"," מבט מהיר"
"This is demo store. No orders will be fulfilled.","האתר נמצא בשלבי הרצה"
"Order Total","סה&quot;כ כולל מע&quot;מ"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">תאריך הזמנה:</span> %1"
"Add to cart","הוספה לסל"
"Free Items","בחירת מתנה"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","נא להשתמש רק באותיות  או מספרים (0-9) בשדה זה. ללא רווחים או תווים אחרים מותרים."
"I hereby confirm the receipt of SMS and benefits to a mail from the Strauss Group in accordance with ","אשמח שתעדכנו אותי ואני מאשר/ת קבלת מידע על הטבות, מבצעים ומידע שיווקי אחר מקבוצת שטראוס באמצעים שונים (כגון: דוא""ל, SMS, טלפון, דואר וכדו') בהתאם"
"Please enter less or equal than {0} symbols.","ניתן להזין עד {0} תווים"
"Maximum length of this field must be equal or less than %1 symbols.","ניתן להזין עד %1 תווים"
"For delivery questions.","מספר הטלפון נועד לצורך תיאום הגעת המשלוח או לבירור פרטים. יש להזין מספר תקין המתחיל ב-05"
"Additional Telephone Tooltip.","מספר הטלפון נועד לצורך תיאום הגעת המשלוח או לבירור פרטים. יש להזין מספר תקין"
"View and Edit Cart","לצפייה ועריכה של סל קניות"
"Cart", "סל קניות"
"The field can contain up to 50 characters","השדה יכול להכיל עד 50 תווים"
"The field can contain up to 30 characters","השדה יכול להכיל עד 30 תווים"
"The field can contain up to 255 characters","השדה יכול להכיל עד 255 תווים"
"Please use only numbers (0-9) in this field. No spaces or other characters are allowed.","נא להשתמש רק   מספרים (0-9) בשדה זה. ללא רווחים או תווים אחרים מותרים."
"E mail","דואר אלקטרונ"
"Password","סיסמה"
"Legal Entity", "סוג חשבון"
"VAT No.","מס' ח.פ"
"The field can contain up to 1-20 characters","השדה יכול להכיל עד 1-20 תווים"
"Review Title","כותרת"
"Review Content","פירוט"